param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-346.8239800681983,61.03571936798987
,1,5,-325.3179013379812,64.27776746543218
,1,10,-328.2367473596911,67.65531553138612
,2,2,-369.1673964873941,53.03771584698296
,2,5,-359.6691050500202,63.29628475627117
,2,10,-344.43922976717187,65.3222778349506
,4,2,-344.7209438276799,47.23080673762482
,4,5,-345.6208059291074,49.059535264480786
,4,10,-354.90379911885054,52.92414912824911
10,1,2,-509.2706151607273,69.58236385201346
10,1,5,-508.36441875159255,65.5009400059674
10,1,10,-507.0901348373799,69.11091633608656
10,2,2,-538.2228639513777,62.31022123247276
10,2,5,-541.2218286147786,59.131530907526965
10,2,10,-529.2080755788107,65.2037223452844
10,4,2,-522.6152184793589,52.15751298260329
10,4,5,-522.4718232708792,52.21042386156613
10,4,10,-529.331594479957,56.54667565029303
20,1,2,-362.3516179075681,66.84665059567676
20,1,5,-354.93057140950907,61.459016954931464
20,1,10,-352.2032287198366,65.46355125534254
20,2,2,-391.46972132347713,48.26140875085348
20,2,5,-388.4323075533569,51.23634876619221
20,2,10,-374.0962895930545,60.94662017252303
20,4,2,-372.17028039681287,42.73240950556082
20,4,5,-372.5185169773505,43.216851661745565
20,4,10,-381.0972713147586,47.82747517604702
30,1,2,-337.40822666080925,70.76785037518039
30,1,5,-339.8966688929978,59.01982890034537
30,1,10,-332.5214142890301,67.87723911461562
30,2,2,-369.1991188407986,55.463990535939274
30,2,5,-369.1157429664587,53.51973331750938
30,2,10,-346.3100535503446,66.03350583257584
30,4,2,-348.01317547124677,48.63953414905807
30,4,5,-347.4888708155805,49.07649687835132
30,4,10,-354.2479529105561,54.455778487197044
50,1,2,-339.4843974658388,66.27540079509225
50,1,5,-331.1645447185151,62.17032519070319
50,1,10,-327.58599001184444,66.77952486469988
50,2,2,-361.8343270626277,62.4466354546069
50,2,5,-367.90467021710487,54.943200080356306
50,2,10,-343.4388581799727,65.97820488568985
50,4,2,-345.1030374134526,47.796416605726534
50,4,5,-345.30885020374967,49.3688581388972
50,4,10,-352.98544364057676,53.5726719339322
