param_alpha,Test MSE,mean_test_score,std_test_score
1.0E-04,407.146239,-407.146239,121.6624735
2.1E-04,407.1462389,-407.1462389,121.662474
4.3E-04,407.1462386,-407.1462386,121.662475
8.9E-04,407.1462379,-407.1462379,121.6624771
1.8E-03,407.1462365,-407.1462365,121.6624814
3.8E-03,407.1462336,-407.1462336,121.6624904
7.8E-03,407.1462277,-407.1462277,121.6625089
1.6E-02,407.1462155,-407.1462155,121.6625472
3.4E-02,407.1461902,-407.1461902,121.6626264
7.0E-02,407.1461379,-407.1461379,121.6627903
1.4E-01,407.14603,-407.14603,121.6631293
3.0E-01,407.1458076,-407.1458076,121.6638301
6.2E-01,407.1453516,-407.1453516,121.665278
1.3E+00,407.1444259,-407.1444259,121.6682638
2.6E+00,407.1425854,-407.1425854,121.6743993
5.5E+00,407.1390899,-407.1390899,121.6869173
1.1E+01,407.1331262,-407.1331262,121.7120948
2.3E+01,407.1256771,-407.1256771,121.7613705
4.8E+01,407.1274686,-407.1274686,121.8532349
1.0E+02,407.1835558,-407.1835558,122.0118395
